Month_id,Origin,0
2000-01,ATL,21077
2000-01,DFW,19859
2000-01,LAX,16571
2000-01,ORD,22556
2000-01,PHX,14995
2000-02,ATL,20998
2000-02,DFW,18927
2000-02,LAX,15505
2000-02,ORD,21682
2000-02,PHX,14275
2000-03,ATL,22630
2000-03,DFW,20550
2000-03,LAX,17078
2000-03,ORD,24580
2000-03,PHX,15831
2000-04,ATL,21736
2000-04,DFW,19651
2000-04,LAX,16507
2000-04,ORD,23150
2000-04,PHX,15264
2000-05,ATL,21906
2000-05,DFW,20106
2000-05,LAX,17062
2000-05,ORD,23357
2000-05,PHX,15658
2000-06,ATL,21348
2000-06,DFW,19499
2000-06,LAX,16945
2000-06,ORD,22747
2000-06,PHX,15031
2000-07,ATL,21330
2000-07,DFW,20521
2000-07,LAX,17816
2000-07,ORD,23479
2000-07,PHX,15341
2000-08,ATL,21976
2000-08,DFW,20718
2000-08,LAX,18137
2000-08,ORD,23815
2000-08,PHX,15755
2000-09,ATL,20722
2000-09,DFW,19742
2000-09,LAX,17064
2000-09,ORD,23059
2000-09,PHX,15062
2000-10,ATL,22069
2000-10,DFW,20550
2000-10,LAX,17606
2000-10,ORD,24757
2000-10,PHX,15717
2000-11,ATL,20752
2000-11,DFW,19348
2000-11,LAX,16749
2000-11,ORD,22945
2000-11,PHX,15222
2000-12,ATL,19886
2000-12,DFW,18632
2000-12,LAX,16958
2000-12,ORD,21326
2000-12,PHX,15727
2001-01,ATL,21353
2001-01,DFW,26912
2001-01,LAX,19624
2001-01,ORD,27782
2001-01,PHX,16018
2001-02,ATL,19196
2001-02,DFW,24218
2001-02,LAX,17679
2001-02,ORD,25119
2001-02,PHX,14510
2001-03,ATL,21342
2001-03,DFW,27262
2001-03,LAX,19656
2001-03,ORD,28496
2001-03,PHX,16236
2001-04,ATL,20978
2001-04,DFW,26262
2001-04,LAX,19128
2001-04,ORD,27766
2001-04,PHX,15507
2001-05,ATL,21341
2001-05,DFW,26973
2001-05,LAX,19879
2001-05,ORD,29401
2001-05,PHX,15770
2001-06,ATL,20963
2001-06,DFW,26145
2001-06,LAX,19655
2001-06,ORD,28362
2001-06,PHX,15331
2001-07,ATL,21758
2001-07,DFW,27245
2001-07,LAX,20436
2001-07,ORD,30024
2001-07,PHX,15935
2001-08,ATL,21960
2001-08,DFW,27289
2001-08,LAX,20543
2001-08,ORD,29949
2001-08,PHX,16126
2001-09,ATL,17043
2001-09,DFW,19865
2001-09,LAX,14846
2001-09,ORD,21585
2001-09,PHX,12938
2001-10,ATL,18572
2001-10,DFW,22684
2001-10,LAX,15782
2001-10,ORD,25345
2001-10,PHX,14727
2001-11,ATL,18267
2001-11,DFW,21517
2001-11,LAX,13997
2001-11,ORD,23915
2001-11,PHX,12945
2001-12,ATL,19211
2001-12,DFW,22569
2001-12,LAX,14219
2001-12,ORD,24708
2001-12,PHX,13517
2002-01,ATL,19012
2002-01,DFW,22863
2002-01,LAX,14311
2002-01,ORD,24806
2002-01,PHX,13716
2002-02,ATL,17604
2002-02,DFW,20571
2002-02,LAX,13370
2002-02,ORD,23046
2002-02,PHX,12680
2002-03,ATL,19854
2002-03,DFW,23305
2002-03,LAX,15032
2002-03,ORD,25537
2002-03,PHX,14762
2002-04,ATL,19336
2002-04,DFW,22934
2002-04,LAX,14853
2002-04,ORD,26095
2002-04,PHX,14439
2002-05,ATL,19707
2002-05,DFW,23744
2002-05,LAX,15518
2002-05,ORD,27219
2002-05,PHX,14733
2002-06,ATL,19565
2002-06,DFW,23372
2002-06,LAX,15417
2002-06,ORD,27021
2002-06,PHX,14542
2002-07,ATL,19962
2002-07,DFW,24302
2002-07,LAX,16033
2002-07,ORD,29004
2002-07,PHX,14831
2002-08,ATL,20157
2002-08,DFW,24309
2002-08,LAX,16207
2002-08,ORD,29059
2002-08,PHX,15035
2002-09,ATL,18217
2002-09,DFW,23021
2002-09,LAX,14994
2002-09,ORD,27517
2002-09,PHX,14200
2002-10,ATL,19283
2002-10,DFW,23987
2002-10,LAX,15350
2002-10,ORD,29010
2002-10,PHX,14816
2002-11,ATL,18180
2002-11,DFW,22387
2002-11,LAX,14457
2002-11,ORD,26106
2002-11,PHX,14001
2002-12,ATL,18510
2002-12,DFW,23053
2002-12,LAX,14943
2002-12,ORD,26469
2002-12,PHX,14285
2003-01,ATL,31697
2003-01,DFW,27520
2003-01,LAX,19032
2003-01,ORD,30447
2003-01,PHX,14470
2003-02,ATL,27881
2003-02,DFW,23843
2003-02,LAX,17027
2003-02,ORD,26878
2003-02,PHX,13067
2003-03,ATL,31514
2003-03,DFW,27632
2003-03,LAX,18986
2003-03,ORD,30275
2003-03,PHX,14606
2003-04,ATL,29334
2003-04,DFW,26772
2003-04,LAX,17791
2003-04,ORD,28712
2003-04,PHX,14211
2003-05,ATL,30093
2003-05,DFW,27700
2003-05,LAX,18265
2003-05,ORD,29618
2003-05,PHX,14289
2003-06,ATL,29923
2003-06,DFW,27266
2003-06,LAX,18371
2003-06,ORD,30004
2003-06,PHX,13965
2003-07,ATL,30471
2003-07,DFW,28121
2003-07,LAX,19163
2003-07,ORD,30147
2003-07,PHX,14342
2003-08,ATL,31001
2003-08,DFW,27520
2003-08,LAX,19115
2003-08,ORD,30229
2003-08,PHX,14258
2003-09,ATL,30102
2003-09,DFW,26492
2003-09,LAX,18040
2003-09,ORD,29252
2003-09,PHX,13533
2003-10,ATL,31660
2003-10,DFW,28106
2003-10,LAX,18375
2003-10,ORD,30716
2003-10,PHX,14106
2003-11,ATL,29918
2003-11,DFW,27568
2003-11,LAX,18051
2003-11,ORD,29895
2003-11,PHX,13472
2003-12,ATL,30896
2003-12,DFW,29077
2003-12,LAX,19191
2003-12,ORD,31746
2003-12,PHX,14034
2004-01,ATL,33615
2004-01,DFW,28801
2004-01,LAX,18899
2004-01,ORD,30168
2004-01,PHX,14038
2004-02,ATL,31541
2004-02,DFW,26679
2004-02,LAX,17653
2004-02,ORD,30057
2004-02,PHX,13504
2004-03,ATL,34671
2004-03,DFW,29207
2004-03,LAX,19277
2004-03,ORD,32218
2004-03,PHX,14599
2004-04,ATL,33845
2004-04,DFW,28403
2004-04,LAX,18841
2004-04,ORD,31705
2004-04,PHX,14001
2004-05,ATL,34536
2004-05,DFW,28970
2004-05,LAX,19189
2004-05,ORD,30821
2004-05,PHX,14142
2004-06,ATL,33855
2004-06,DFW,27965
